,ID_REF,VALUE
473,201762_s_at,8.6987
474,201766_at,7.1253
475,201767_s_at,7.2825
476,201768_s_at,7.7265
477,201770_at,8.0257
478,201774_s_at,5.2614
479,201775_s_at,7.2877
480,201776_s_at,9.505
481,201777_s_at,5.3786
482,201779_s_at,9.984
483,201780_s_at,8.9751
484,201783_s_at,8.0445
485,201785_at,9.545
486,201786_s_at,10.6691
487,201787_at,5.845
488,201789_at,2.9958
489,201790_s_at,7.7343
490,201791_s_at,7.3341
491,201792_at,6.5581
492,201793_x_at,5.2997
493,201795_at,6.7446
494,201796_s_at,4.9619
495,201798_s_at,6.0706
496,201799_s_at,7.6333
497,201800_s_at,9.4987
498,201801_s_at,5.6631
499,201802_at,5.2163
500,201806_s_at,5.5235
501,201809_s_at,6.1333
502,201815_s_at,7.2118
503,201820_at,6.9873
504,201823_s_at,8.4265
505,201829_at,8.7676
506,201830_s_at,8.4606
507,201831_s_at,8.2553
508,201839_s_at,4.9608
509,201841_s_at,8.9633
510,201842_s_at,8.8712
511,201843_s_at,7.1338
512,201844_s_at,9.2807
513,201846_s_at,9.5445
514,201847_at,8.8977
515,201850_at,5.4706
516,201852_x_at,4.4919
517,201854_s_at,8.6399
518,201856_s_at,8.3209
519,201858_s_at,7.746
520,201859_at,9.1774
521,201860_s_at,7.0951
522,201865_x_at,10.1166
523,201866_s_at,8.443
524,201867_s_at,6.3441
525,201868_s_at,5.283
526,201869_s_at,6.1826
527,201873_s_at,8.556
528,201874_at,7.8893
529,201876_at,10.2842
530,201879_at,8.2657
531,201882_x_at,5.1957
532,201884_at,4.79
533,201887_at,7.3869
534,201888_s_at,4.5663
535,201890_at,3.1724
536,201893_x_at,8.707
537,201894_s_at,8.4475
538,201901_s_at,10.428
539,201902_s_at,4.9331
540,201904_s_at,7.6778
541,201905_s_at,6.3125
542,201906_s_at,7.701
543,201907_x_at,6.3166
544,201910_at,8.4477
545,201915_at,7.4946
546,201917_s_at,9.0576
547,201918_at,9.2191
548,201923_at,7.8456
549,201924_at,8.7354
550,201925_s_at,7.1796
551,201926_s_at,6.3148
552,201927_s_at,8.1362
553,201932_at,8.4015
554,201935_s_at,10.3123
555,201940_at,7.99
556,201942_s_at,5.3627
557,201943_s_at,6.4353
558,201945_at,6.5117
559,201946_s_at,9.144
560,201948_at,7.4332
561,201949_x_at,9.6196
562,201950_x_at,9.5338
563,201951_at,9.4656
564,201957_at,8.4213
565,201958_s_at,4.1692
566,201959_s_at,11.0549
567,201961_s_at,7.9826
568,201962_s_at,9.5368
569,201964_at,8.3787
570,201965_s_at,7.4038
571,201971_s_at,10.4209
572,201974_s_at,5.6432
573,201976_s_at,9.6581
574,201977_s_at,7.0155
575,201978_s_at,7.0301
576,201982_s_at,3.8077
577,201983_s_at,8.3598
578,201984_s_at,5.9034
579,201986_at,9.5147
580,201987_at,9.6545
581,201991_s_at,11.1861
582,201992_s_at,8.2563
583,201993_x_at,10.8467
584,201996_s_at,7.8236
585,201998_at,8.2208
586,202003_s_at,8.2021
587,202005_at,5.7802
588,202007_at,4.2629
589,202008_s_at,5.7739
590,202009_at,7.7028
591,202011_at,10.1092
592,202014_at,6.9956
593,202017_at,8.6032
594,202019_s_at,8.779
595,202023_at,6.7101
596,202024_at,8.8777
597,202027_at,9.5551
598,202030_at,7.941
599,202034_x_at,9.4456
600,202035_s_at,5.1814
601,202036_s_at,5.1302
602,202037_s_at,7.0899
603,202040_s_at,8.111
604,202044_at,4.6663
605,202045_s_at,7.6485
606,202046_s_at,5.4426
607,202047_s_at,11.3763
608,202050_s_at,8.4958
609,202052_s_at,5.6126
610,202055_at,8.0868
611,202056_at,8.2455
612,202058_s_at,7.3324
613,202062_s_at,7.1241
614,202065_s_at,6.3132
615,202067_s_at,6.0308
616,202068_s_at,7.5171
617,202069_s_at,9.3519
618,202071_at,9.3709
619,202072_at,6.8034
620,202075_s_at,8.4101
621,202080_s_at,9.4111
622,202081_at,8.328
623,202082_s_at,8.6417
624,202083_s_at,7.6956
625,202085_at,8.3061
626,202087_s_at,9.4249
627,202091_at,5.2865
628,202095_s_at,3.8086
629,202096_s_at,6.338
630,202101_s_at,9.1387
631,202107_s_at,5.0686
632,202111_at,4.8134
633,202112_at,8.0403
634,202118_s_at,7.4167
635,202119_s_at,8.2021
636,202122_s_at,7.1072
637,202123_s_at,8.2122
638,202124_s_at,9.3886
639,202127_at,7.4797
640,202129_s_at,6.7963
641,202130_at,8.9348
642,202131_s_at,7.4025
643,202133_at,7.6602
644,202134_s_at,4.7756
645,202136_at,10.9802
646,202137_s_at,7.9086
647,202139_at,7.6743
648,202143_s_at,9.0435
649,202146_at,8.3155
650,202148_s_at,7.3243
651,202149_at,7.8511
652,202150_s_at,6.853
653,202156_s_at,9.7945
654,202157_s_at,11.4178
655,202158_s_at,8.8329
656,202163_s_at,7.8177
657,202166_s_at,8.6602
658,202171_at,8.4559
659,202172_at,8.3211
660,202173_s_at,7.8885
661,202174_s_at,8.9658
662,202177_at,7.7986
663,202180_s_at,7.0664
664,202181_at,8.1341
665,202185_at,7.5284
666,202186_x_at,4.5725
667,202189_x_at,7.6669
668,202191_s_at,11.5814
669,202193_at,5.9328
670,202195_s_at,5.8819
671,202201_at,8.016
672,202202_s_at,6.7026
673,202203_s_at,8.5917
674,202204_s_at,7.3179
675,202205_at,5.7632
676,202206_at,9.0189
677,202207_at,9.4587
678,202211_at,7.3991
679,202213_s_at,7.5613
680,202218_s_at,7.7308
681,202221_s_at,6.1473
682,202222_s_at,4.705
683,202223_at,6.5916
684,202226_s_at,7.7546
685,202229_s_at,6.984
686,202234_s_at,6.6386
687,202235_at,5.9517
688,202236_s_at,9.2034
689,202237_at,6.3101
690,202238_s_at,5.2953
691,202239_at,6.8962
692,202241_at,7.843
693,202246_s_at,7.5805
694,202248_at,6.0684
695,202251_at,6.6147
696,202252_at,8.2734
697,202255_s_at,9.5551
698,202258_s_at,8.2857
699,202259_s_at,8.1266
700,202262_x_at,7.0214
701,202269_x_at,6.3754
702,202270_at,5.2868
703,202273_at,8.2115
704,202274_at,4.4862
705,202275_at,6.9857
706,202278_s_at,7.0014
707,202283_at,9.8604
708,202284_s_at,6.5399
709,202285_s_at,5.2227
710,202286_s_at,3.5994
711,202287_s_at,5.0617
712,202288_at,8.4456
713,202290_at,8.7434
714,202291_s_at,7.5028
715,202293_at,6.4222
716,202294_at,8.1187
